date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:02	73126/73126	---M--	200	added ('OK')	text/css	etag:%229c146533984f1f9baff1a0cf5dc7a388%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/717829a48b5fad64747b7bf2f577ae731605682362.css?h=40c7578516cdd9f426182b919c0cfddd	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/717829a48b5fad64747b7bf2f577ae7316056823621786.css	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:24	0/0	---M--	302	error ('Moved%20Temporarily')	application/xml	date:Wed,%2018%20Nov%202020%2007:54:22%20GMT	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_car_4x3.png?h=506109887356d5fc901a2c2368bab8ac	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_car_4x3.1c884d.delayed	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:27	0/0	---M--	302	error ('Moved%20Temporarily')	application/xml	date:Wed,%2018%20Nov%202020%2007:54:25%20GMT	https://pro2-bar-s3-cdn-cf2.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_car_4x3.jpg?h=59adfa6d7f64cc37a225bf9a2015018e	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf2.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_car_4x3.1e6371.delayed	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:28	1435097/1435097	---M--	200	added ('OK')	image/png	etag:c8756cd53fd56dc0e9169633d3d6fafa	https://pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_car_4x3.png?h=506109887356d5fc901a2c2368bab8ac	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_car_4x3884d.png	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:36	0/0	---M--	302	error ('Moved%20Temporarily')	application/xml	date:Wed,%2018%20Nov%202020%2007:54:34%20GMT	https://pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_car_4x3.png?h=7bf54e1b887ef59a8aa86c5743cda0db	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_car_4x3.20bf8a.delayed	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:45	4002670/4002670	---M--	200	added ('OK')	image/jpeg	etag:7741075fa88071732d06c8b0552714ea	https://pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_car_4x3.jpg?h=59adfa6d7f64cc37a225bf9a2015018e	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_car_4x36371.jpg	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:47	0/0	---M--	302	error ('Moved%20Temporarily')	application/xml	date:Wed,%2018%20Nov%202020%2007:54:45%20GMT	https://pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_car_4x3.png?h=a6d40cb29d1c90dd6a6f923c19d0cb23	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_car_4x3676c.png	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:49	1321780/1321780	---M--	200	added ('OK')	image/png	etag:5bcbf78dd58e7838b458549801f083d0	https://pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_car_4x3.png?h=7bf54e1b887ef59a8aa86c5743cda0db	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_car_4x3bf8a.png	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:53	447656/447656	---M--	200	added ('OK')	image/png	etag:b8eab3d48d286fb71a46aa641a58456f	https://pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_car_4x3.png?h=a6d40cb29d1c90dd6a6f923c19d0cb23	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar.myportfolio.com/v1/assets/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_car_4x3676c.png	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
14:54:59	0/0	---M--	302	error ('Moved%20Temporarily')	application/xml	date:Wed,%2018%20Nov%202020%2007:54:57%20GMT	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/734bf2b4-8ea7-46bf-b356-b85d580a08c1_car_4x3.png?h=debdd3b6ff9b9a9e590c38db4a62ce92	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/734bf2b4-8ea7-46bf-b356-b85d580a08c1_car_4x3.24ad27.delayed	(from https://vietcuongtran29.myportfolio.com/3d-modeling)
